CCDB	Tango
BO-VC-CCG-B01-01	BO01/VC/CCG-01
BO-VC-CCG-B01-02	BO01/VC/CCG-02
BO-VC-CCG-B01-03	BO01/VC/CCG-03
BO-VC-CCG-B02-01	BO02/VC/CCG-01
BO-VC-CCG-B02-02	BO02/VC/CCG-02
BO-VC-CCG-B03-01	BO03/VC/CCG-01
BO-VC-CCG-B03-02	BO03/VC/CCG-02
BO-VC-CCG-B04-01	BO04/VC/CCG-01
BO-VC-CCG-B04-02	BO04/VC/CCG-02
BO-VC-CCG-B04-03	BO04/VC/CCG-03
BO-VC-CCG-B04-04	BO04/VC/CCG-04
BO-VC-CCG-B04-05	BO04/VC/CCG-05
BO-VC-CCG-B04-06	BO04/VC/CCG-06
BO-VC-IP20-B01-01	BO01/VC/IP-01
BO-VC-IP20-B01-02	BO01/VC/IP-02
BO-VC-IP20-B01-03	BO01/VC/IP-03
BO-VC-IP20-B01-04	BO01/VC/IP-04
BO-VC-IP20-B01-05	BO01/VC/IP-05
BO-VC-IP20-B01-06	BO01/VC/IP-06
BO-VC-IP20-B01-07	BO01/VC/IP-07
BO-VC-IP20-B01-08	BO01/VC/IP-08
BO-VC-IP20-B01-09	BO01/VC/IP-09
BO-VC-IP20-B01-10	BO01/VC/IP-10
BO-VC-IP20-B01-11	BO01/VC/IP-11
BO-VC-IP20-B01-12	BO01/VC/IP-12
BO-VC-IP20-B01-13	BO01/VC/IP-13
BO-VC-IP20-B01-14	BO01/VC/IP-14
BO-VC-IP20-B01-15	BO01/VC/IP-15
BO-VC-IP20-B01-16	BO01/VC/IP-16
BO-VC-IP20-B01-17	BO01/VC/IP-17
BO-VC-IP20-B01-18	BO01/VC/IP-18
BO-VC-IP20-B01-19	BO01/VC/IP-19
BO-VC-IP20-B01-20	BO01/VC/IP-20
BO-VC-IP20-B01-21	BO01/VC/IP-21
BO-VC-IP20-B01-22	BO01/VC/IP-22
BO-VC-IP20-B01-23	BO01/VC/IP-23
BO-VC-IP20-B01-24	BO01/VC/IP-24
BO-VC-IP20-B01-25	BO01/VC/IP-25
BO-VC-IP20-B01-26	BO01/VC/IP-26
BO-VC-IP20-B01-27	BO01/VC/IP-27
BO-VC-IP20-B01-28	BO01/VC/IP-28
BO-VC-IP20-B01-29	BO01/VC/IP-29
BO-VC-IP20-B01-30	BO01/VC/IP-30
BO-VC-IP20-B01-31	BO01/VC/IP-31
BO-VC-IP20-B02-01	BO02/VC/IP-01
BO-VC-IP20-B02-02	BO02/VC/IP-02
BO-VC-IP20-B02-03	BO02/VC/IP-03
BO-VC-IP20-B02-04	BO02/VC/IP-04
BO-VC-IP20-B02-05	BO02/VC/IP-05
BO-VC-IP20-B02-06	BO02/VC/IP-06
BO-VC-IP20-B02-07	BO02/VC/IP-07
BO-VC-IP20-B02-08	BO02/VC/IP-08
BO-VC-IP20-B02-09	BO02/VC/IP-09
BO-VC-IP20-B02-10	BO02/VC/IP-10
BO-VC-IP20-B02-11	BO02/VC/IP-11
BO-VC-IP20-B02-12	BO02/VC/IP-12
BO-VC-IP20-B02-13	BO02/VC/IP-13
BO-VC-IP20-B02-14	BO02/VC/IP-14
BO-VC-IP20-B02-15	BO02/VC/IP-15
BO-VC-IP20-B02-16	BO02/VC/IP-16
BO-VC-IP20-B02-17	BO02/VC/IP-17
BO-VC-IP20-B02-18	BO02/VC/IP-18
BO-VC-IP20-B02-19	BO02/VC/IP-19
BO-VC-IP20-B02-20	BO02/VC/IP-20
BO-VC-IP20-B02-21	BO02/VC/IP-21
BO-VC-IP20-B02-22	BO02/VC/IP-22
BO-VC-IP20-B02-23	BO02/VC/IP-23
BO-VC-IP20-B02-24	BO02/VC/IP-24
BO-VC-IP20-B02-25	BO02/VC/IP-25
BO-VC-IP20-B02-26	BO02/VC/IP-26
BO-VC-IP20-B02-27	BO02/VC/IP-27
BO-VC-IP20-B02-28	BO02/VC/IP-28
BO-VC-IP20-B02-29	BO02/VC/IP-29
BO-VC-IP20-B02-30	BO02/VC/IP-30
BO-VC-IP20-B02-31	BO02/VC/IP-31
BO-VC-IP20-B03-01	BO03/VC/IP-01
BO-VC-IP20-B03-02	BO03/VC/IP-02
BO-VC-IP20-B03-03	BO03/VC/IP-03
BO-VC-IP20-B03-04	BO03/VC/IP-04
BO-VC-IP20-B03-05	BO03/VC/IP-05
BO-VC-IP20-B03-06	BO03/VC/IP-06
BO-VC-IP20-B03-07	BO03/VC/IP-07
BO-VC-IP20-B03-08	BO03/VC/IP-08
BO-VC-IP20-B03-09	BO03/VC/IP-09
BO-VC-IP20-B03-10	BO03/VC/IP-10
BO-VC-IP20-B03-11	BO03/VC/IP-11
BO-VC-IP20-B03-12	BO03/VC/IP-12
BO-VC-IP20-B03-13	BO03/VC/IP-13
BO-VC-IP20-B03-14	BO03/VC/IP-14
BO-VC-IP20-B03-15	BO03/VC/IP-15
BO-VC-IP20-B03-16	BO03/VC/IP-16
BO-VC-IP20-B03-17	BO03/VC/IP-17
BO-VC-IP20-B03-18	BO03/VC/IP-18
BO-VC-IP20-B03-19	BO03/VC/IP-19
BO-VC-IP20-B03-20	BO03/VC/IP-20
BO-VC-IP20-B03-21	BO03/VC/IP-21
BO-VC-IP20-B03-22	BO03/VC/IP-22
BO-VC-IP20-B03-23	BO03/VC/IP-23
BO-VC-IP20-B03-24	BO03/VC/IP-24
BO-VC-IP20-B03-25	BO03/VC/IP-25
BO-VC-IP20-B03-26	BO03/VC/IP-26
BO-VC-IP20-B03-27	BO03/VC/IP-27
BO-VC-IP20-B03-28	BO03/VC/IP-28
BO-VC-IP20-B03-29	BO03/VC/IP-29
BO-VC-IP20-B03-30	BO03/VC/IP-30
BO-VC-IP20-B03-31	BO03/VC/IP-31
BO-VC-IP20-B04-01	BO04/VC/IP-01
BO-VC-IP20-B04-02	BO04/VC/IP-02
BO-VC-IP20-B04-03	BO04/VC/IP-03
BO-VC-IP20-B04-04	BO04/VC/IP-04
BO-VC-IP20-B04-05	BO04/VC/IP-05
BO-VC-IP20-B04-06	BO04/VC/IP-06
BO-VC-IP20-B04-07	BO04/VC/IP-07
BO-VC-IP20-B04-08	BO04/VC/IP-08
BO-VC-IP20-B04-09	BO04/VC/IP-09
BO-VC-IP20-B04-10	BO04/VC/IP-10
BO-VC-IP20-B04-11	BO04/VC/IP-11
BO-VC-IP20-B04-12	BO04/VC/IP-12
BO-VC-IP20-B04-13	BO04/VC/IP-13
BO-VC-IP20-B04-14	BO04/VC/IP-14
BO-VC-IP20-B04-15	BO04/VC/IP-15
BO-VC-IP20-B04-16	BO04/VC/IP-16
BO-VC-IP20-B04-17	BO04/VC/IP-17
BO-VC-IP20-B04-18	BO04/VC/IP-18
BO-VC-IP20-B04-19	BO04/VC/IP-19
BO-VC-IP20-B04-20	BO04/VC/IP-20
BO-VC-IP20-B04-21	BO04/VC/IP-21
BO-VC-IP20-B04-22	BO04/VC/IP-22
BO-VC-IP20-B04-23	BO04/VC/IP-23
BO-VC-IP20-B04-24	BO04/VC/IP-24
BO-VC-IP20-B04-25	BO04/VC/IP-25
BO-VC-IP20-B04-26	BO04/VC/IP-26
BO-VC-IP20-B04-27	BO04/VC/IP-27
BO-VC-IP20-B04-28	BO04/VC/IP-28
BO-VC-IP20-B04-29	BO04/VC/IP-29
BO-VC-IP20-B04-30	BO04/VC/IP-30
BO-VC-IP20-B04-31	BO04/VC/IP-31
BO-VC-IP300-B04-32	BO04/VC/IP-32
BO-VC-IP300-B04-33	BO04/VC/IP-33
BO-VC-IP75-B01-32	BO01/VC/IP-32
BO-VC-IPCT-RKA02B10-01	BO01/VC/IPCT-01
BO-VC-IPCT-RKA02B10-02	BO01/VC/IPCT-02
BO-VC-IPCT-RKA05A10-01	BO01/VC/IPCT-03
BO-VC-IPCT-RKA05A10-02	BO01/VC/IPCT-04
BO-VC-IPCT-RKA06D09-01	BO02/VC/IPCT-01
BO-VC-IPCT-RKA06D09-02	BO02/VC/IPCT-02
BO-VC-IPCT-RKA07B04-01	BO02/VC/IPCT-03
BO-VC-IPCT-RKA07B04-02	BO02/VC/IPCT-04
BO-VC-IPCT-RKA10C09-01	BO03/VC/IPCT-01
BO-VC-IPCT-RKA10C09-02	BO03/VC/IPCT-02
BO-VC-IPCT-RKA12B02-01	BO03/VC/IPCT-03
BO-VC-IPCT-RKA12B02-02	BO03/VC/IPCT-04
BO-VC-IPCT-RKA14D11-01	BO04/VC/IPCT-01
BO-VC-IPCT-RKA14D11-02	BO04/VC/IPCT-02
BO-VC-IPCT-RKA15C12-01	BO04/VC/IPCT-03
BO-VC-IPCT-RKA15C12-02	BO04/VC/IPCT-04
BO-VC-IPCT-RKA15C12-03	BO04/VC/IPCT-05
BO-VC-PIR-B01-01	BO01/VC/PIR-01
BO-VC-PIR-B01-02	BO01/VC/PIR-02
BO-VC-PIR-B02-01	BO02/VC/PIR-01
BO-VC-PIR-B03-01	BO03/VC/PIR-01
BO-VC-PIR-B04-01	BO04/VC/PIR-01
BO-VC-PIR-B04-02	BO04/VC/PIR-02
BO-VC-PIR-B04-03	BO04/VC/PIR-03
BO-VC-PIR-B04-04	BO04/VC/PIR-04
BO-VC-SPBX-RKA02B10-01	BO01/VC/SPBX-01
BO-VC-SPBX-RKA02B10-02	BO01/VC/SPBX-02
BO-VC-SPBX-RKA05A10-01	BO01/VC/SPBX-03
BO-VC-SPBX-RKA05A10-02	BO01/VC/SPBX-04
BO-VC-SPBX-RKA06D09-01	BO02/VC/SPBX-01
BO-VC-SPBX-RKA06D09-02	BO02/VC/SPBX-02
BO-VC-SPBX-RKA07B04-01	BO02/VC/SPBX-03
BO-VC-SPBX-RKA07B04-02	BO02/VC/SPBX-04
BO-VC-SPBX-RKA10C09-01	BO03/VC/SPBX-01
BO-VC-SPBX-RKA10C09-02	BO03/VC/SPBX-02
BO-VC-SPBX-RKA12B02-01	BO03/VC/SPBX-03
BO-VC-SPBX-RKA12B02-02	BO03/VC/SPBX-04
BO-VC-SPBX-RKA14D11-01	BO04/VC/SPBX-01
BO-VC-SPBX-RKA14D11-02	BO04/VC/SPBX-02
BO-VC-SPBX-RKA15C12-01	BO04/VC/SPBX-03
BO-VC-SPBX-RKA15C12-02	BO04/VC/SPBX-04
BO-VC-VGCT-RKA02B10-01	BO01/VC/VGCT-01
BO-VC-VGCT-RKA05A10-01	BO01/VC/VGCT-02
BO-VC-VGCT-RKA06D09-01	BO02/VC/VGCT-01
BO-VC-VGCT-RKA10C09-01	BO03/VC/VGCT-01
BO-VC-VGCT-RKA14D11-01	BO04/VC/VGCT-01
BO-VC-VGCT-RKA15C12-01	BO04/VC/VGCT-02
BO-VC-VGCT-RKA15C12-02	BO04/VC/VGCT-03
BO-VC-VGCT-RKA16A03-01	BO04/VC/VGCT-04
SR-CT-IPC-RKA01A09-01	tango/admin/ivc0101
SR-CT-IPC-RKA02A01-01	tango/admin/ivc0201
SR-CT-IPC-RKA02D08-01	tango/admin/ivc0301
SR-CT-IPC-RKA04A05-01	tango/admin/ivc0401
SR-CT-IPC-RKA04D05-01	tango/admin/ivc0501
SR-CT-IPC-RKA06C01-01	tango/admin/ivc0601
SR-CT-IPC-RKA07B04-01	tango/admin/ivc0701
SR-CT-IPC-RKA08E01-01	tango/admin/ivc0801
SR-CT-IPC-RKA09B02-01	tango/admin/ivc0901
SR-CT-IPC-RKA10C08-01	tango/admin/ivc1001
SR-CT-IPC-RKA11C01-01	tango/admin/ivc1101
SR-CT-IPC-RKA11F01-01	tango/admin/ivc1201
SR-CT-IPC-RKA13A08-01	tango/admin/ivc1301
SR-CT-IPC-RKA14C12-01	tango/admin/ivc1401
SR-CT-IPC-RKA15B10-01	tango/admin/ivc1501
SR-CT-IPC-RKA15C14-01	tango/admin/ivc1601
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-01
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-02
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-03
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-04
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-05
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-06
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-07
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-08
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-09
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-10
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-11
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-12
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-13
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-14
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-15
SR-CT-PAPA-RKA01A09-01	SR01/VC/SERIAL-16
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-01
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-02
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-03
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-04
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-05
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-06
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-07
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-08
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-09
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-10
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-11
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-12
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-13
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-14
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-15
SR-CT-PAPA-RKA02A01-01	SR02/VC/SERIAL-16
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-01
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-02
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-03
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-04
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-05
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-06
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-07
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-08
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-09
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-10
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-11
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-12
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-13
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-14
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-15
SR-CT-PAPA-RKA04D05-01	SR05/VC/SERIAL-16
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-01
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-02
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-03
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-04
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-05
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-06
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-07
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-08
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-09
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-10
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-11
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-12
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-13
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-14
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-15
SR-CT-PAPA-RKA06C01-01	SR06/VC/SERIAL-16
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-01
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-02
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-03
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-04
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-05
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-06
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-07
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-08
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-09
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-10
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-11
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-12
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-13
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-14
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-15
SR-CT-PAPA-RKA07B04-01	SR07/VC/SERIAL-16
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-01
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-02
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-03
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-04
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-05
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-06
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-07
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-08
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-09
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-10
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-11
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-12
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-13
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-14
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-15
SR-CT-PAPA-RKA10C08-01	SR10/VC/SERIAL-16
SR-CT-PAPA-RKA11C01-01	BO03/VC/PAPA-01
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-01
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-02
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-03
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-04
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-05
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-06
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-07
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-08
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-09
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-10
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-11
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-12
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-13
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-14
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-15
SR-CT-PAPA-RKA11F01-01	SR12/VC/SERIAL-16
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-01
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-02
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-03
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-04
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-05
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-06
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-07
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-08
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-09
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-10
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-11
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-12
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-13
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-14
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-15
SR-CT-PAPA-RKA14C12-01	SR14/VC/SERIAL-16
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-01
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-02
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-03
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-04
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-05
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-06
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-07
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-08
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-09
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-10
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-11
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-12
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-13
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-14
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-15
SR-CT-PAPA-RKA15C14-01	SR16/VC/SERIAL-16
