Tango	CCDB	Channel
BO01/VC/CCG-01	BO-VC-CCG-B01-01	
BO01/VC/CCG-02	BO-VC-CCG-B01-02	
BO01/VC/CCG-03	BO-VC-CCG-B01-03	
BO01/VC/IP-01	BO-VC-IP20-B01-01	
BO01/VC/IP-02	BO-VC-IP20-B01-02	
BO01/VC/IP-03	BO-VC-IP20-B01-03	
BO01/VC/IP-04	BO-VC-IP20-B01-04	
BO01/VC/IP-05	BO-VC-IP20-B01-05	
BO01/VC/IP-06	BO-VC-IP20-B01-06	
BO01/VC/IP-07	BO-VC-IP20-B01-07	
BO01/VC/IP-08	BO-VC-IP20-B01-08	
BO01/VC/IP-09	BO-VC-IP20-B01-09	
BO01/VC/IP-10	BO-VC-IP20-B01-10	
BO01/VC/IP-11	BO-VC-IP20-B01-11	
BO01/VC/IP-12	BO-VC-IP20-B01-12	
BO01/VC/IP-13	BO-VC-IP20-B01-13	
BO01/VC/IP-14	BO-VC-IP20-B01-14	
BO01/VC/IP-15	BO-VC-IP20-B01-15	
BO01/VC/IP-16	BO-VC-IP20-B01-16	
BO01/VC/IP-17	BO-VC-IP20-B01-17	
BO01/VC/IP-18	BO-VC-IP20-B01-18	
BO01/VC/IP-19	BO-VC-IP20-B01-19	
BO01/VC/IP-20	BO-VC-IP20-B01-20	
BO01/VC/IP-21	BO-VC-IP20-B01-21	
BO01/VC/IP-22	BO-VC-IP20-B01-22	
BO01/VC/IP-23	BO-VC-IP20-B01-23	
BO01/VC/IP-24	BO-VC-IP20-B01-24	
BO01/VC/IP-25	BO-VC-IP20-B01-25	
BO01/VC/IP-26	BO-VC-IP20-B01-26	
BO01/VC/IP-27	BO-VC-IP20-B01-27	
BO01/VC/IP-28	BO-VC-IP20-B01-28	
BO01/VC/IP-29	BO-VC-IP20-B01-29	
BO01/VC/IP-30	BO-VC-IP20-B01-30	
BO01/VC/IP-31	BO-VC-IP20-B01-31	
BO01/VC/IP-32	BO-VC-IP75-B01-32	
BO01/VC/IPCT-01	BO-VC-IPCT-RKA02B10-01	
BO01/VC/IPCT-02	BO-VC-IPCT-RKA02B10-02	
BO01/VC/IPCT-03	BO-VC-IPCT-RKA05A10-01	
BO01/VC/IPCT-04	BO-VC-IPCT-RKA05A10-02	
BO01/VC/PIR-01	BO-VC-PIR-B01-01	
BO01/VC/PIR-02	BO-VC-PIR-B01-02	
BO01/VC/SPBX-01	BO-VC-SPBX-RKA02B10-01	
BO01/VC/SPBX-02	BO-VC-SPBX-RKA02B10-02	
BO01/VC/SPBX-03	BO-VC-SPBX-RKA05A10-01	
BO01/VC/SPBX-04	BO-VC-SPBX-RKA05A10-02	
BO01/VC/VGCT-01	BO-VC-VGCT-RKA02B10-01	
BO01/VC/VGCT-02	BO-VC-VGCT-RKA05A10-01	
BO02/VC/CCG-01	BO-VC-CCG-B02-01	
BO02/VC/CCG-02	BO-VC-CCG-B02-02	
BO02/VC/IP-01	BO-VC-IP20-B02-01	
BO02/VC/IP-02	BO-VC-IP20-B02-02	
BO02/VC/IP-03	BO-VC-IP20-B02-03	
BO02/VC/IP-04	BO-VC-IP20-B02-04	
BO02/VC/IP-05	BO-VC-IP20-B02-05	
BO02/VC/IP-06	BO-VC-IP20-B02-06	
BO02/VC/IP-07	BO-VC-IP20-B02-07	
BO02/VC/IP-08	BO-VC-IP20-B02-08	
BO02/VC/IP-09	BO-VC-IP20-B02-09	
BO02/VC/IP-10	BO-VC-IP20-B02-10	
BO02/VC/IP-11	BO-VC-IP20-B02-11	
BO02/VC/IP-12	BO-VC-IP20-B02-12	
BO02/VC/IP-13	BO-VC-IP20-B02-13	
BO02/VC/IP-14	BO-VC-IP20-B02-14	
BO02/VC/IP-15	BO-VC-IP20-B02-15	
BO02/VC/IP-16	BO-VC-IP20-B02-16	
BO02/VC/IP-17	BO-VC-IP20-B02-17	
BO02/VC/IP-18	BO-VC-IP20-B02-18	
BO02/VC/IP-19	BO-VC-IP20-B02-19	
BO02/VC/IP-20	BO-VC-IP20-B02-20	
BO02/VC/IP-21	BO-VC-IP20-B02-21	
BO02/VC/IP-22	BO-VC-IP20-B02-22	
BO02/VC/IP-23	BO-VC-IP20-B02-23	
BO02/VC/IP-24	BO-VC-IP20-B02-24	
BO02/VC/IP-25	BO-VC-IP20-B02-25	
BO02/VC/IP-26	BO-VC-IP20-B02-26	
BO02/VC/IP-27	BO-VC-IP20-B02-27	
BO02/VC/IP-28	BO-VC-IP20-B02-28	
BO02/VC/IP-29	BO-VC-IP20-B02-29	
BO02/VC/IP-30	BO-VC-IP20-B02-30	
BO02/VC/IP-31	BO-VC-IP20-B02-31	
BO02/VC/IPCT-01	BO-VC-IPCT-RKA06D09-01	
BO02/VC/IPCT-02	BO-VC-IPCT-RKA06D09-02	
BO02/VC/IPCT-03	BO-VC-IPCT-RKA07B04-01	
BO02/VC/IPCT-04	BO-VC-IPCT-RKA07B04-02	
BO02/VC/PIR-01	BO-VC-PIR-B02-01	
BO02/VC/SPBX-01	BO-VC-SPBX-RKA06D09-01	
BO02/VC/SPBX-02	BO-VC-SPBX-RKA06D09-02	
BO02/VC/SPBX-03	BO-VC-SPBX-RKA07B04-01	
BO02/VC/SPBX-04	BO-VC-SPBX-RKA07B04-02	
BO02/VC/VGCT-01	BO-VC-VGCT-RKA06D09-01	
BO03/VC/CCG-01	BO-VC-CCG-B03-01	
BO03/VC/CCG-02	BO-VC-CCG-B03-02	
BO03/VC/IP-01	BO-VC-IP20-B03-01	
BO03/VC/IP-02	BO-VC-IP20-B03-02	
BO03/VC/IP-03	BO-VC-IP20-B03-03	
BO03/VC/IP-04	BO-VC-IP20-B03-04	
BO03/VC/IP-05	BO-VC-IP20-B03-05	
BO03/VC/IP-06	BO-VC-IP20-B03-06	
BO03/VC/IP-07	BO-VC-IP20-B03-07	
BO03/VC/IP-08	BO-VC-IP20-B03-08	
BO03/VC/IP-09	BO-VC-IP20-B03-09	
BO03/VC/IP-10	BO-VC-IP20-B03-10	
BO03/VC/IP-11	BO-VC-IP20-B03-11	
BO03/VC/IP-12	BO-VC-IP20-B03-12	
BO03/VC/IP-13	BO-VC-IP20-B03-13	
BO03/VC/IP-14	BO-VC-IP20-B03-14	
BO03/VC/IP-15	BO-VC-IP20-B03-15	
BO03/VC/IP-16	BO-VC-IP20-B03-16	
BO03/VC/IP-17	BO-VC-IP20-B03-17	
BO03/VC/IP-18	BO-VC-IP20-B03-18	
BO03/VC/IP-19	BO-VC-IP20-B03-19	
BO03/VC/IP-20	BO-VC-IP20-B03-20	
BO03/VC/IP-21	BO-VC-IP20-B03-21	
BO03/VC/IP-22	BO-VC-IP20-B03-22	
BO03/VC/IP-23	BO-VC-IP20-B03-23	
BO03/VC/IP-24	BO-VC-IP20-B03-24	
BO03/VC/IP-25	BO-VC-IP20-B03-25	
BO03/VC/IP-26	BO-VC-IP20-B03-26	
BO03/VC/IP-27	BO-VC-IP20-B03-27	
BO03/VC/IP-28	BO-VC-IP20-B03-28	
BO03/VC/IP-29	BO-VC-IP20-B03-29	
BO03/VC/IP-30	BO-VC-IP20-B03-30	
BO03/VC/IP-31	BO-VC-IP20-B03-31	
BO03/VC/IPCT-01	BO-VC-IPCT-RKA10C09-01	
BO03/VC/IPCT-02	BO-VC-IPCT-RKA10C09-02	
BO03/VC/IPCT-03	BO-VC-IPCT-RKA12B02-01	
BO03/VC/IPCT-04	BO-VC-IPCT-RKA12B02-02	
BO03/VC/PIR-01	BO-VC-PIR-B03-01	
BO03/VC/SPBX-01	BO-VC-SPBX-RKA10C09-01	
BO03/VC/SPBX-02	BO-VC-SPBX-RKA10C09-02	
BO03/VC/SPBX-03	BO-VC-SPBX-RKA12B02-01	
BO03/VC/SPBX-04	BO-VC-SPBX-RKA12B02-02	
BO03/VC/VGCT-01	BO-VC-VGCT-RKA10C09-01	
BO04/VC/CCG-01	BO-VC-CCG-B04-01	
BO04/VC/CCG-02	BO-VC-CCG-B04-02	
BO04/VC/CCG-03	BO-VC-CCG-B04-03	
BO04/VC/CCG-04	BO-VC-CCG-B04-04	
BO04/VC/CCG-05	BO-VC-CCG-B04-05	
BO04/VC/CCG-06	BO-VC-CCG-B04-06	
BO04/VC/IP-01	BO-VC-IP20-B04-01	
BO04/VC/IP-02	BO-VC-IP20-B04-02	
BO04/VC/IP-03	BO-VC-IP20-B04-03	
BO04/VC/IP-04	BO-VC-IP20-B04-04	
BO04/VC/IP-05	BO-VC-IP20-B04-05	
BO04/VC/IP-06	BO-VC-IP20-B04-06	
BO04/VC/IP-07	BO-VC-IP20-B04-07	
BO04/VC/IP-08	BO-VC-IP20-B04-08	
BO04/VC/IP-09	BO-VC-IP20-B04-09	
BO04/VC/IP-10	BO-VC-IP20-B04-10	
BO04/VC/IP-11	BO-VC-IP20-B04-11	
BO04/VC/IP-12	BO-VC-IP20-B04-12	
BO04/VC/IP-13	BO-VC-IP20-B04-13	
BO04/VC/IP-14	BO-VC-IP20-B04-14	
BO04/VC/IP-15	BO-VC-IP20-B04-15	
BO04/VC/IP-16	BO-VC-IP20-B04-16	
BO04/VC/IP-17	BO-VC-IP20-B04-17	
BO04/VC/IP-18	BO-VC-IP20-B04-18	
BO04/VC/IP-19	BO-VC-IP20-B04-19	
BO04/VC/IP-20	BO-VC-IP20-B04-20	
BO04/VC/IP-21	BO-VC-IP75-B04-20	
BO04/VC/IP-22	BO-VC-IP20-B04-21	
BO04/VC/IP-23	BO-VC-IP20-B04-22	
BO04/VC/IP-24	BO-VC-IP20-B04-23	
BO04/VC/IP-25	BO-VC-IP20-B04-24	
BO04/VC/IP-26	BO-VC-IP20-B04-25	
BO04/VC/IP-27	BO-VC-IP20-B04-26	
BO04/VC/IP-28	BO-VC-IP20-B04-27	
BO04/VC/IP-29	BO-VC-IP20-B04-28	
BO04/VC/IP-30	BO-VC-IP20-B04-29	
BO04/VC/IP-31	BO-VC-IP20-B04-30	
BO04/VC/IP-32	BO-VC-IP20-B04-31	
BO04/VC/IP-33	BO-VC-IP300-B04-32	
BO04/VC/IP-34	BO-VC-IP300-B04-33	
BO04/VC/IPCT-01	BO-VC-IPCT-RKA14D11-01	
BO04/VC/IPCT-02	BO-VC-IPCT-RKA14D11-02	
BO04/VC/IPCT-03	BO-VC-IPCT-RKA15C12-01	
BO04/VC/IPCT-04	BO-VC-IPCT-RKA15C12-02	
BO04/VC/IPCT-05	BO-VC-IPCT-RKA15C12-03	
BO04/VC/PIR-01	BO-VC-PIR-B04-01	
BO04/VC/PIR-02	BO-VC-PIR-B04-02	
BO04/VC/PIR-03	BO-VC-PIR-B04-03	
BO04/VC/PIR-04	BO-VC-PIR-B04-04	
BO04/VC/PIR-05	BO-VC-PIR-B04-05	
BO04/VC/SPBX-01	BO-VC-SPBX-RKA14D11-01	
BO04/VC/SPBX-02	BO-VC-SPBX-RKA14D11-02	
BO04/VC/SPBX-03	BO-VC-SPBX-RKA15C12-01	
BO04/VC/SPBX-04	BO-VC-SPBX-RKA15C12-02	
BO04/VC/VGCT-01	BO-VC-VGCT-RKA14D11-01	
BO04/VC/VGCT-02	BO-VC-VGCT-RKA15C12-01	
BO04/VC/VGCT-03	BO-VC-VGCT-RKA15C12-02	
BO04/VC/VGCT-04	BO-VC-VGCT-RKA16A03-01	
BT/VC/IPCT-01	BT-VC-IPCT-RKA15B10-01	
BT/VC/SPBX-01	BT-VC-SPBX-RKA15B10-01	
BT/VC/VGCT-01	BT-VC-VGCT-RKA15B10-01	
BT01/VC/CCG-01	BT-VC-CCG-D01-01	
BT01/VC/IP-01	BT-VC-IP20-D01-01	
BT01/VC/IP-02	BT-VC-IP20-D01-02	
BT01/VC/IP-03	BT-VC-IP20-D01-03	
BT01/VC/IP-04	BT-VC-IP20-D01-04	
BT01/VC/IP-05	BT-VC-IP20-D01-05	
BT01/VC/IP-06	BT-VC-IP20-D01-06	
BT01/VC/IP-07	BT-VC-IP20-D01-07	
BT01/VC/IP-08	BT-VC-IP75-D01-08	
BT01/VC/PIR-01	BT-VC-PIR-D01-01	
LT/VC/IPCT-01	LT-VC-IPCT-RKA04A05-01	
LT/VC/SPBX-01	LT-VC-SPBX-RKA04A05-01	
LT/VC/SPBX-02	LT-VC-SPBX-RKA04A05-02	
LT/VC/VGCT-01	LT-VC-VGCT-RKA04A05-01	
LT/VC/VGCT-02	LT-VC-VGCT-RKA04A05-02	
LT01/VC/CCG-01	LT-VC-CCG-T01-01	
LT01/VC/CCG-02	LT-VC-CCG-T01-02	
LT01/VC/CCG-03	LT-VC-CCG-T01-03	
LT01/VC/IP-01	LT-VC-IP75-T01-01	
LT01/VC/IP-02	LT-VC-IP20-T01-02	
LT01/VC/IP-03	LT-VC-IP20-T01-03	
LT01/VC/IP-04	LT-VC-IP20-T01-04	
LT01/VC/IP-05	LT-VC-IP150-T01-05	
LT01/VC/IP-06	LT-VC-IP20-T01-06	
LT01/VC/IP-07	LT-VC-IP20-T01-07	
LT01/VC/IP-08	LT-VC-IP20-T01-08	
LT01/VC/IP-09	LT-VC-IP20-T01-09	
LT01/VC/IP-10	LT-VC-IP20-T01-10	
LT01/VC/PIR-01	LT-VC-PIR-T01-01	
LT01/VC/PIR-02	LT-VC-PIR-T01-02	
LT02/VC/CCG-01	LT-VC-CCG-T02-01	
LT02/VC/IP-01	LT-VC-IP20-T02-01	
LT02/VC/IP-02	LT-VC-IP20-T02-02	
LT02/VC/PIR-01	LT-VC-PIR-T02-01	
SR01/VC/CCG-01	SR-VC-CCG-S01-01	
SR01/VC/CCG-02	SR-VC-CCG-S01-02	
SR01/VC/CCG-03	SR-VC-CCG-S01-03	
SR01/VC/IP-01	SR-VC-IP150-S01-01	
SR01/VC/IP-02	SR-VC-IP150-S01-02	
SR01/VC/IP-03	SR-VC-IP300-S01-03	
SR01/VC/IP-04	SR-VC-IP500-S01-04	
SR01/VC/IP-05	SR-VC-IP300-S01-05	
SR01/VC/IP-06	SR-VC-IP150-S01-06	
SR01/VC/IP-07	SR-VC-IP300-S01-07	
SR01/VC/IP-08	SR-VC-IP500-S01-08	
SR01/VC/IP-09	SR-VC-IP300-S01-09	
SR01/VC/IP-10	SR-VC-IP150-S01-10	
SR01/VC/IP-11	SR-VC-IP150-S01-11	
SR01/VC/IP-12	SR-VC-IP150-S01-12	
SR01/VC/IPCT-01	SR-VC-IPCT-RKA01A08-01	
SR01/VC/IPCT-02	SR-VC-IPCT-RKA01A08-02	
SR01/VC/IPCT-03	SR-VC-IPCT-RKA02A01-01	
SR01/VC/PIR-01	SR-VC-PIR-S01-01	
SR01/VC/PIR-02	SR-VC-PIR-S01-02	
SR01/VC/SERIAL-01	SR-CT-PAPA-RKA01A09-01	P1
SR01/VC/SERIAL-02	SR-CT-PAPA-RKA01A09-01	P2
SR01/VC/SERIAL-03	SR-CT-PAPA-RKA01A09-01	P3
SR01/VC/SERIAL-10	SR-CT-PAPA-RKA01A09-01	P10
SR01/VC/SERIAL-11	SR-CT-PAPA-RKA01A09-01	P11
SR01/VC/SERIAL-12	SR-CT-PAPA-RKA01A09-01	P12
SR01/VC/SPBX-01	SR-VC-SPBX-RKA01A08-01	
SR01/VC/SPBX-02	SR-VC-SPBX-RKA01A08-02	
SR01/VC/SPBX-03	SR-VC-SPBX-RKA02A01-01	
SR01/VC/VGCT-01	SR-VC-VGCT-RKA01A08-01	
SR01/VC/VGCT-02	SR-VC-VGCT-RKA02A01-01	
SR02/VC/CCG-01	SR-VC-CCG-S02-01	
SR02/VC/CCG-02	SR-VC-CCG-S02-02	
SR02/VC/CCG-03	SR-VC-CCG-S02-03	
SR02/VC/CCG-04	SR-VC-CCG-S02-04	
SR02/VC/IP-01	SR-VC-IP150-S02-01	
SR02/VC/IP-02	SR-VC-IP150-S02-02	
SR02/VC/IP-03	SR-VC-IP300-S02-03	
SR02/VC/IP-04	SR-VC-IP500-S02-04	
SR02/VC/IP-05	SR-VC-IP300-S02-05	
SR02/VC/IP-06	SR-VC-IP150-S02-06	
SR02/VC/IP-07	SR-VC-IP150-S02-07	
SR02/VC/IP-08	SR-VC-IP150-S02-08	
SR02/VC/IP-09	SR-VC-IP150-S02-09	
SR02/VC/IP-10	SR-VC-IP300-S02-10	
SR02/VC/IP-11	SR-VC-IP500-S02-11	
SR02/VC/IP-12	SR-VC-IP300-S02-12	
SR02/VC/IP-13	SR-VC-IP150-S02-13	
SR02/VC/IP-14	SR-VC-IP150-S02-14	
SR02/VC/IP-15	SR-VC-IP150-S02-15	
SR02/VC/IPCT-01	SR-VC-IPCT-RKA02A02-01	
SR02/VC/IPCT-02	SR-VC-IPCT-RKA02B08-01	
SR02/VC/IPCT-03	SR-VC-IPCT-RKA02B08-02	
SR02/VC/PIR-01	SR-VC-PIR-S02-01	
SR02/VC/PIR-02	SR-VC-PIR-S02-02	
SR02/VC/PIR-03	SR-VC-PIR-S02-03	
SR02/VC/PIR-04	SR-VC-PIR-S02-04	
SR02/VC/SERIAL-01	SR-CT-PAPA-RKA02A01-01	P1
SR02/VC/SERIAL-02	SR-CT-PAPA-RKA02A01-01	P2
SR02/VC/SERIAL-03	SR-CT-PAPA-RKA02A01-01	P3
SR02/VC/SERIAL-04	SR-CT-PAPA-RKA02A01-01	P4
SR02/VC/SERIAL-05	SR-CT-PAPA-RKA02A01-01	P5
SR02/VC/SERIAL-06	SR-CT-PAPA-RKA02A01-01	P6
SR02/VC/SERIAL-10	SR-CT-PAPA-RKA02A01-01	P10
SR02/VC/SERIAL-11	SR-CT-PAPA-RKA02A01-01	P11
SR02/VC/SERIAL-12	SR-CT-PAPA-RKA02A01-01	P12
SR02/VC/SERIAL-13	SR-CT-PAPA-RKA02A01-01	P13
SR02/VC/SERIAL-14	SR-CT-PAPA-RKA02A01-01	P14
SR02/VC/SPBX-01	SR-VC-SPBX-RKA02A02-01	
SR02/VC/SPBX-02	SR-VC-SPBX-RKA02B08-01	
SR02/VC/SPBX-03	SR-VC-SPBX-RKA02B08-02	
SR02/VC/VGCT-01	SR-VC-VGCT-RKA02A02-01	
SR02/VC/VGCT-02	SR-VC-VGCT-RKA02B08-01	
SR02/VC/VGCT-03	SR-VC-VGCT-RKA02B08-02	
SR03/VC/CCG-01	SR-VC-CCG-S03-01	
SR03/VC/CCG-02	SR-VC-CCG-S03-02	
SR03/VC/CCG-03	SR-VC-CCG-S03-03	
SR03/VC/CCG-04	SR-VC-CCG-S03-04	
SR03/VC/IP-01	SR-VC-IP150-S03-01	
SR03/VC/IP-02	SR-VC-IP150-S03-02	
SR03/VC/IP-03	SR-VC-IP300-S03-03	
SR03/VC/IP-04	SR-VC-IP500-S03-04	
SR03/VC/IP-05	SR-VC-IP300-S03-05	
SR03/VC/IP-06	SR-VC-IP150-S03-06	
SR03/VC/IP-07	SR-VC-IP150-S03-07	
SR03/VC/IP-08	SR-VC-IP150-S03-08	
SR03/VC/IP-09	SR-VC-IP150-S03-09	
SR03/VC/IP-10	SR-VC-IP300-S03-10	
SR03/VC/IP-11	SR-VC-IP500-S03-11	
SR03/VC/IP-12	SR-VC-IP300-S03-12	
SR03/VC/IP-13	SR-VC-IP150-S03-13	
SR03/VC/IP-14	SR-VC-IP150-S03-14	
SR03/VC/IP-15	SR-VC-IP150-S03-15	
SR03/VC/IPCT-01	SR-VC-IPCT-RKA02D08-01	
SR03/VC/IPCT-02	SR-VC-IPCT-RKA02D08-02	
SR03/VC/IPCT-03	SR-VC-IPCT-RKA04D05-01	
SR03/VC/PIR-01	SR-VC-PIR-S03-01	
SR03/VC/PIR-02	SR-VC-PIR-S03-02	
SR03/VC/PIR-03	SR-VC-PIR-S03-03	
SR03/VC/PIR-04	SR-VC-PIR-S03-04	
SR03/VC/SERIAL-01	SR-CT-PAPA-RKA02D08-01	P1
SR03/VC/SERIAL-02	SR-CT-PAPA-RKA02D08-01	P2
SR03/VC/SERIAL-10	SR-CT-PAPA-RKA02D08-01	P10
SR03/VC/SERIAL-11	SR-CT-PAPA-RKA02D08-01	P11
SR03/VC/SPBX-01	SR-VC-SPBX-RKA02D08-01	
SR03/VC/SPBX-02	SR-VC-SPBX-RKA02D08-02	
SR03/VC/SPBX-03	SR-VC-SPBX-RKA04D05-01	
SR03/VC/VGCT-01	SR-VC-VGCT-RKA02D08-01	
SR03/VC/VGCT-02	SR-VC-VGCT-RKA02D08-02	
SR03/VC/VGCT-03	SR-VC-VGCT-RKA04D05-01	
SR04/VC/CCG-01	SR-VC-CCG-S04-01	
SR04/VC/CCG-02	SR-VC-CCG-S04-02	
SR04/VC/CCG-03	SR-VC-CCG-S04-03	
SR04/VC/CCG-04	SR-VC-CCG-S04-04	
SR04/VC/IP-01	SR-VC-IP150-S04-01	
SR04/VC/IP-02	SR-VC-IP150-S04-02	
SR04/VC/IP-03	SR-VC-IP300-S04-03	
SR04/VC/IP-04	SR-VC-IP500-S04-04	
SR04/VC/IP-05	SR-VC-IP300-S04-05	
SR04/VC/IP-06	SR-VC-IP150-S04-06	
SR04/VC/IP-07	SR-VC-IP300-S04-07	
SR04/VC/IP-08	SR-VC-IP500-S04-08	
SR04/VC/IP-09	SR-VC-IP300-S04-09	
SR04/VC/IP-10	SR-VC-IP150-S04-10	
SR04/VC/IP-11	SR-VC-IP150-S04-11	
SR04/VC/IP-12	SR-VC-IP150-S04-12	
SR04/VC/IP-13	SR-VC-IP150-S04-13	
SR04/VC/IP-14	SR-VC-IP150-S04-14	
SR04/VC/IP-15	SR-VC-IP150-S04-15	
SR04/VC/IPCT-01	SR-VC-IPCT-RKA04C01-01	
SR04/VC/IPCT-02	SR-VC-IPCT-RKA04D04-01	
SR04/VC/IPCT-03	SR-VC-IPCT-RKA04D04-02	
SR04/VC/PIR-01	SR-VC-PIR-S04-01	
SR04/VC/PIR-02	SR-VC-PIR-S04-02	
SR04/VC/SERIAL-02	SR-CT-PAPA-RKA04A05-01	P2
SR04/VC/SERIAL-10	SR-CT-PAPA-RKA04A05-01	P10
SR04/VC/SERIAL-11	SR-CT-PAPA-RKA04A05-01	P11
SR04/VC/SPBX-01	SR-VC-SPBX-RKA04C01-01	
SR04/VC/SPBX-02	SR-VC-SPBX-RKA04D04-01	
SR04/VC/SPBX-03	SR-VC-SPBX-RKA04D04-02	
SR04/VC/VGCT-01	SR-VC-VGCT-RKA04C01-01	
SR04/VC/VGCT-02	SR-VC-VGCT-RKA04D04-01	
SR05/VC/CCG-01	SR-VC-CCG-S05-01	
SR05/VC/CCG-02	SR-VC-CCG-S05-02	
SR05/VC/CCG-03	SR-VC-CCG-S05-03	
SR05/VC/IP-01	SR-VC-IP150-S05-01	
SR05/VC/IP-02	SR-VC-IP150-S05-02	
SR05/VC/IP-03	SR-VC-IP300-S05-03	
SR05/VC/IP-04	SR-VC-IP500-S05-04	
SR05/VC/IP-05	SR-VC-IP300-S05-05	
SR05/VC/IP-06	SR-VC-IP150-S05-06	
SR05/VC/IP-07	SR-VC-IP300-S05-07	
SR05/VC/IP-08	SR-VC-IP500-S05-08	
SR05/VC/IP-09	SR-VC-IP300-S05-09	
SR05/VC/IP-10	SR-VC-IP150-S05-10	
SR05/VC/IP-11	SR-VC-IP150-S05-11	
SR05/VC/IP-12	SR-VC-IP150-S05-12	
SR05/VC/IPCT-01	SR-VC-IPCT-RKA05A08-01	
SR05/VC/IPCT-02	SR-VC-IPCT-RKA05A08-02	
SR05/VC/IPCT-03	SR-VC-IPCT-RKA06C01-01	
SR05/VC/PIR-01	SR-VC-PIR-S05-01	
SR05/VC/PIR-02	SR-VC-PIR-S05-02	
SR05/VC/SERIAL-01	SR-CT-PAPA-RKA04D05-01	P1
SR05/VC/SERIAL-02	SR-CT-PAPA-RKA04D05-01	P2
SR05/VC/SERIAL-03	SR-CT-PAPA-RKA04D05-01	P3
SR05/VC/SERIAL-04	SR-CT-PAPA-RKA04D05-01	P4
SR05/VC/SERIAL-05	SR-CT-PAPA-RKA04D05-01	P5
SR05/VC/SERIAL-06	SR-CT-PAPA-RKA04D05-01	P6
SR05/VC/SERIAL-07	SR-CT-PAPA-RKA04D05-01	P7
SR05/VC/SERIAL-08	SR-CT-PAPA-RKA04D05-01	P8
SR05/VC/SERIAL-10	SR-CT-PAPA-RKA04D05-01	P10
SR05/VC/SERIAL-11	SR-CT-PAPA-RKA04D05-01	P11
SR05/VC/SERIAL-12	SR-CT-PAPA-RKA04D05-01	P12
SR05/VC/SERIAL-13	SR-CT-PAPA-RKA04D05-01	P13
SR05/VC/SERIAL-14	SR-CT-PAPA-RKA04D05-01	P14
SR05/VC/SPBX-01	SR-VC-SPBX-RKA05A08-01	
SR05/VC/SPBX-02	SR-VC-SPBX-RKA05A08-02	
SR05/VC/SPBX-03	SR-VC-SPBX-RKA06C01-01	
SR05/VC/VGCT-01	SR-VC-VGCT-RKA05A08-01	
SR05/VC/VGCT-02	SR-VC-VGCT-RKA06C01-01	
SR06/VC/CCG-01	SR-VC-CCG-S06-01	
SR06/VC/CCG-02	SR-VC-CCG-S06-02	
SR06/VC/CCG-03	SR-VC-CCG-S06-03	
SR06/VC/CCG-04	SR-VC-CCG-S06-04	
SR06/VC/CCG-05	SR-VC-CCG-S06-05	
SR06/VC/CCG-06	SR-VC-CCG-S06-06	
SR06/VC/IP-01	SR-VC-IP150-S06-01	
SR06/VC/IP-02	SR-VC-IP150-S06-02	
SR06/VC/IP-03	SR-VC-IP300-S06-03	
SR06/VC/IP-04	SR-VC-IP500-S06-04	
SR06/VC/IP-05	SR-VC-IP300-S06-05	
SR06/VC/IP-06	SR-VC-IP150-S06-06	
SR06/VC/IP-07	SR-VC-IP150-S06-07	
SR06/VC/IP-08	SR-VC-IP300-S06-08	
SR06/VC/IP-09	SR-VC-IP300-S06-09	
SR06/VC/IP-10	SR-VC-IP150-S06-10	
SR06/VC/IP-11	SR-VC-IP150-S06-11	
SR06/VC/IP-12	SR-VC-IP150-S06-12	
SR06/VC/IP-13	SR-VC-IP150-S06-13	
SR06/VC/IP-14	SR-VC-IP300-S06-14	
SR06/VC/IP-15	SR-VC-IP500-S06-15	
SR06/VC/IP-16	SR-VC-IP300-S06-16	
SR06/VC/IP-17	SR-VC-IP150-S06-17	
SR06/VC/IP-18	SR-VC-IP150-S06-18	
SR06/VC/IP-19	SR-VC-IP150-S06-19	
SR06/VC/IPCT-01	SR-VC-IPCT-RKA06C11-01	
SR06/VC/IPCT-02	SR-VC-IPCT-RKA06C11-02	
